Gene_ID,Sequence,Length,%GC,Number_Exons,Avg_PYG_TPM
ACA1_265480,,,,,33.28938667
ACA1_097210,,,,,19.950612
ACA1_213080,,,,,3.435514
ACA1_046580,,,,,20.05354633
ACA1_068540,,,,,55.230695
ACA1_379340,,,,,27.56636433
ACA1_322380,,,,,11.26240967
ACA1_133200,,,,,7.596801333
ACA1_182960,,,,,7.022172667
ACA1_108240,,,,,34.12560733
ACA1_140580,,,,,65.602394
ACA1_066770,,,,,16.60053733
ACA1_072040,,,,,20.72168667
ACA1_376700,,,,,760.8987633
ACA1_000840,,,,,39.747903
ACA1_254870,,,,,12.56678367
ACA1_243390,,,,,5.590677333
ACA1_100010,,,,,70.59839633
ACA1_081690,,,,,4.024607
ACA1_384020,,,,,53.618473
ACA1_146600,,,,,27.29959367
ACA1_080670,,,,,256.273824
ACA1_117020,,,,,223.6477713
ACA1_091830,,,,,20.86324367
ACA1_199810,,,,,28.349957
ACA1_295760,,,,,7.571753
ACA1_146520,,,,,64.66774767
ACA1_065180,,,,,21.77641167
ACA1_288680,,,,,13.07859733
ACA1_285470,,,,,1.135234667
ACA1_057970,,,,,83.62312333
ACA1_052660,,,,,160.3083087
ACA1_337850,,,,,10.51398633
ACA1_272960,,,,,11.65708367
ACA1_356170,,,,,151.7070823
ACA1_238130,,,,,11.710885
ACA1_266200,,,,,13.62369033
ACA1_084830,,,,,190.2314097
ACA1_091710,,,,,11.12222833
ACA1_173160,,,,,53.11357233
ACA1_291660,,,,,68.44333633
ACA1_210100,,,,,5.398174
ACA1_198280,,,,,15.59187467
ACA1_159080,,,,,6.632725
ACA1_272610,,,,,10.114214
ACA1_275450,,,,,900.2725017
ACA1_365030,,,,,19.240764
ACA1_050190,,,,,26.35561233
ACA1_058930,,,,,2.008135667
ACA1_383600,,,,,38.91545333
ACA1_368120,,,,,1.505511667
ACA1_269430,,,,,7.975651
ACA1_126330,,,,,17.63713833
ACA1_188980,,,,,63.85976533
ACA1_250560,,,,,12.155561
ACA1_153580,,,,,3.786326333
ACA1_147560,,,,,20.84757233
ACA1_115050,,,,,63.13674033
ACA1_341100,,,,,14.82265433
ACA1_181920,,,,,173.0571037
ACA1_094100,,,,,10.365077
ACA1_396230,,,,,17.918286
ACA1_253840,,,,,14.614594
ACA1_142290,,,,,12.74228333
ACA1_276470,,,,,4.635792667
ACA1_252200,,,,,72.43084467
ACA1_195960,,,,,11.84389467
ACA1_207310,,,,,2.813092
ACA1_076870,,,,,250.3966627
ACA1_014740,,,,,138.1473083
ACA1_180650,,,,,394.4116517
ACA1_198560,,,,,105.3295033
ACA1_093550,,,,,6.809588667
ACA1_031960,,,,,44.84150333
ACA1_376560,,,,,20.41483733
ACA1_399600,,,,,9.811233
ACA1_310620,,,,,6.441367
ACA1_357040,,,,,4.276973667
ACA1_252550,,,,,2.247652667
ACA1_136520,,,,,19.73671833
ACA1_251320,,,,,280.822861
ACA1_295840,,,,,56.911556
ACA1_112830,,,,,24.11749733
ACA1_147550,,,,,23.351297
ACA1_356420,,,,,18.705525
ACA1_031830,,,,,2.470229
ACA1_117070,,,,,19.71019233
ACA1_283520,,,,,4.962832667
ACA1_192980,,,,,3.869808333
ACA1_211950,,,,,22.47210167
ACA1_187340,,,,,22.13763267
ACA1_048370,,,,,9.037214667
ACA1_201480,,,,,25.52606267
ACA1_399820,,,,,41.736491
ACA1_098810,,,,,40.79086267
ACA1_045950,,,,,2.870158667
ACA1_158030,,,,,155.3566487
ACA1_368760,,,,,16.58134667
ACA1_310730,,,,,40.130866
ACA1_101060,,,,,2175.052083
ACA1_264780,,,,,12.831855
ACA1_185310,,,,,32.33744433
ACA1_063920,,,,,4.544762333
ACA1_180780,,,,,46.12951533
ACA1_290900,,,,,20.51003267
ACA1_006070,,,,,81.37829333
ACA1_327950,,,,,10.329066
ACA1_172030,,,,,41.05162533
ACA1_040780,,,,,1.965718
ACA1_061700,,,,,31.255193
ACA1_123850,,,,,38.52821967
ACA1_120250,,,,,66.595993
ACA1_377210,,,,,177.6625163
ACA1_331730,,,,,72.38496933
ACA1_323510,,,,,159.704249
ACA1_078450,,,,,20.52863067
ACA1_133590,,,,,3.746508
ACA1_142270,,,,,78.498052
ACA1_198830,,,,,20.58873533
ACA1_117290,,,,,2.957914667
ACA1_109130,,,,,17.657436
ACA1_365730,,,,,20.34140367
ACA1_085940,,,,,27.89865833
ACA1_388520,,,,,14.75543933
ACA1_044690,,,,,22.620217
ACA1_034300,,,,,48.52795167
ACA1_289130,,,,,85.33849367
ACA1_277750,,,,,902.462077
ACA1_077310,,,,,2.265418667
ACA1_136140,,,,,125.009768
ACA1_068600,,,,,82.917272
ACA1_255660,,,,,3.808871333
ACA1_336890,,,,,83.31862633
ACA1_376970,,,,,113.7288413
ACA1_200540,,,,,6.642751
ACA1_055580,,,,,4.3073
ACA1_033460,,,,,3.76558
ACA1_265490,,,,,1105.812663
ACA1_360520,,,,,56.99685533
ACA1_180660,,,,,63.045156
ACA1_183680,,,,,170.0090077
ACA1_037830,,,,,2.513280667
ACA1_054140,,,,,82.28229267
ACA1_092110,,,,,24.90758
ACA1_253700,,,,,46.78959233
ACA1_382290,,,,,54.94975667
ACA1_368320,,,,,37.916138
ACA1_273870,,,,,36.22622067
ACA1_360390,,,,,8.024656333
ACA1_065960,,,,,34.04390833
ACA1_116210,,,,,12.05484333
ACA1_255210,,,,,104.768931
ACA1_071220,,,,,60.801384
ACA1_245490,,,,,519.6723127
ACA1_089280,,,,,9.659348333
ACA1_327110,,,,,2.972995
ACA1_022200,,,,,150.592504
ACA1_218420,,,,,250.3579813
ACA1_111910,,,,,212.1150157
ACA1_325470,,,,,84.34190867
ACA1_360580,,,,,4.683118333
ACA1_144030,,,,,54.58162967
ACA1_151400,,,,,9.99255
ACA1_383580,,,,,199.922399
ACA1_156470,,,,,36.82415633
ACA1_239520,,,,,24.389094
ACA1_331110,,,,,230.205465
ACA1_087640,,,,,17.31591033
ACA1_279480,,,,,32.53237933
ACA1_290420,,,,,312.0422973
ACA1_385820,,,,,27.456192
ACA1_109120,,,,,164.3827817
ACA1_203000,,,,,3.175052667
ACA1_360450,,,,,25.119549
ACA1_057500,,,,,340.86853
ACA1_199540,,,,,131.6145403
ACA1_063040,,,,,4.394557333
ACA1_325570,,,,,6.398466
ACA1_198470,,,,,65.59698367
ACA1_145290,,,,,3.244927667
ACA1_299810,,,,,4.003220333
ACA1_326800,,,,,20.73073333
ACA1_087630,,,,,26.97012967
ACA1_069170,,,,,17.78609167
ACA1_387270,,,,,113.0903907
ACA1_213320,,,,,7.216966667
ACA1_116430,,,,,47.070946
ACA1_036400,,,,,4382.636393
ACA1_343130,,,,,69.71431467
ACA1_360440,,,,,19.742155
ACA1_325510,,,,,565.02771
ACA1_089210,,,,,14.59679467
ACA1_265510,,,,,29.01487933
ACA1_237760,,,,,3.770153333
ACA1_034580,,,,,31.65719667
ACA1_200550,,,,,6.649906
ACA1_031880,,,,,37.83572033
ACA1_359140,,,,,9.598851
ACA1_331720,,,,,159.2038267
ACA1_214620,,,,,26.48180967
ACA1_071490,,,,,23.95861833
ACA1_218260,,,,,25.44480433
ACA1_279470,,,,,934.1924033
ACA1_159070,,,,,4.981452667
ACA1_123200,,,,,40.80972533
ACA1_329490,,,,,84.483836
ACA1_369700,,,,,26.24707367
ACA1_069820,,,,,345.9500837
ACA1_055570,,,,,8.747141333
ACA1_189870,,,,,13.94710533
ACA1_220210,,,,,64.215711
ACA1_077780,,,,,7.20581
ACA1_174660,,,,,5.78534
ACA1_250780,,,,,7.080819333
ACA1_238140,,,,,7.666475333
ACA1_279210,,,,,49.00911067
ACA1_204590,,,,,55.67544167
ACA1_162670,,,,,17.76621533
ACA1_255370,,,,,17.00601267
ACA1_187750,,,,,3448.576823
ACA1_391430,,,,,367.1038717
ACA1_380920,,,,,186.9413353
ACA1_183150,,,,,30.27733667
